Sentence,Sentiment
yaziklar olsun Turkcell yaziklar olsun Armes Group,1
#Turkcell Herþey þans bizde dediniz bende avea ya gectim :),1
he kardes 4 ceker araban var anladik hee,2
o attýðýn turkcell numarasýný mý kullanýyosun güzellik? Hemen fýsý fýsý ederiz :D,0
Hayat Paylaþýnca Güzel ;),0
lanet olsun burdan alicam yeni telefon bununla da turkcell in camini kiricam,1
benden cekecegi var.,1
Ýpragaz reklamý muhteþem olmuþ süper abi.Turkcell reklam görsün........,1
Lütfen gece 12 den sonra bana mesaj atmaktan vazgeç,1
Bence sorun Turkcell'de. Ayni sikintiyi yasiyorum.,1
Ekran jelatini Turkcell'de 40 lira iken telefoncuda 5 lira. Kazýk kol boyu,1
Bir kez daha cüzdaný evde unuttum ama Turkcell mobil imza sayesinde Garanti'den para çekip gunumu sorunsuz götürüyorum :),0
"#turkcell iCloud reklamý yapýyor, yürü len",1
merhaba biz iþsiz gençleriz özel okul açýp iþ güç sahibi olmak istiyoruz bize okul yapýmýnda sponsor olabilirmisiniz acaba turkcel,2
"citysdeki Turkcell tam bir dolandýrýcý, iPhone4 kontratli fiyat sordum 124ten baþlýyor dediler yalan yanlýþ bilgi veriyorlar",1
Ýzin vermiyo turkcell öylebi hakkýn yok sen kimsin lan diyo :D,1
"Önce kýz takýmýmýz KPMG'yi 3-0 sonra da biz Unilever'i 3-1'le geçtik, süper bir gün oldu! #turkcellvoleybol #goturkcell #turkcell :))",0
bu fenerbahçeliler turkcel bayisinde kontor bulunur lafý kadar çok gereksiz!,2
#2012tahminleri'nin yanýnda nostaljiye ne dersiniz? Türkiye'deki internet siteleri açýldýklarýnda nasýl görünüyorlardý?,2
O deðil de internet paketim bitiyordu bugün normalde. Turkcell unuttu beni galiba.,2
"Deðerli Wolfteam Oyuncularý,  Turkcell Mobil Ödeme Kampanyasý için yapýlacak olan servis bakýmý nedeniyle, 29...",2
"Bravo   12. Katta bile cekmiyosun ya, pessss",1
"Ben turkcell kullaniyorsam, niye diger operatorlerden mesaj aliyorum? Engelleme imkanim olsa keske",2
hým valla yeni dediðin cuma günü turkcell müzikte saat 15.00 te canlý performansý var baþka biþi bilmiyorum:),0
biz hala iyiyiz hayat paylasýnca güzel la ala la kurumsal temsilci,0
"mal bir TIM calisani yuzunden mailim kapandi.4 gundur e-posta ayari yapamadiniz.Bugun son kez ariycam,olmazsa operator degistircem",1
canim  tebrikler. Turkcell bo ilk 10 icindedin sende,2
neden ki :S yok yav yeter bütün paramý türkcell'e verdiðim :D en az 1 yýl vodafone'dayým,1
Turkcell de senden memnun mus bugun konustular bil yani!,2
Konturum olmadiginda Turkcell in bana msg atmasi bile insani uzuyo lan.Tl yuklede bizde kurtulalim gibi gunde 5defa...,1
Ýnovasyonda büyük ödül Turkcell'in - Kurumsal-,0
turkcell müþteri hizmetleri mi yoksa vodafone mu kanka :D,2
bir þarkýnýn tek bir sözünü hatýrlamayýp yine de o þarkýdan ve operatörden nefret edilir mi evet kubat ve turkcell den bahsediyorum ýykk,1
Bre Turkcell ! Tam bi hýrsýzsýn ! Seni bi daha kullanani esekler kovalasin!,1
Bir turkcell kavgasini daha kazandim(; turkcell yine faturamda indirim yapti (;,1
"iPhone'a mikro sim kartý  den aldýk, itunes aktivasyonunu Vodafone'da yaptýk. Panora AVM'deki Vodafone bayisine teþekkürler.",2
20 Mbit/s  fiber internet hattimdan hala buffer beklemeden video seyredemiyorum #rezalet #superonline,1
ile Diyarbakir'a gidiyoruz! bu gece Turkcell icin sahne! ;),0
gerçi turkcell bu defteri haziranda kapatmýþ.,2
oturduðun yerde fiber baðlantý varsa süperonline,0
"Sen wodafone qibi Her Ani ya$arKen... Ben Seni TùrkseL qibi Her yerDe ÇeKemem.. $imDi qeL AyriLaLim Desem... Avea qibi ""OH BE"" DiyeceKSin.xD",2
5 yýldýr bekleyip umudumu kestiðim anda gelen hamilelik haberim 2011 in en iyisiydi. vee 2012 de kavuþacaðým yavruma bu süperrrrrr,2
"Kuzenýmý ararken turkcell jýngelýný kenan dogulu soyluyo, mutemadýyen sený arýyasým var cuz",0
kesinlikle piþman olmazsýn.Denemeye deðer ;),2
tüm tarayýcýlarla denedim baðlanamadým tahmin süresi biter bitmez baðlan twetgönderebildim engellediler,2
sarkozy'ye de yýlbaþý hediyem adam gibi turkcell faturalý hat. kimaramýþtan mesaj gelecek ARAMAYA GERÝ DÖNMEYEN ÞEREFSÝZ.,2
abi superonline ne kadar bi de avea paketiniz ne kadar?,2
gencler Ve kendini genc hisseden herkes gnctrkcll li degil mi;)),0
tutturamadim ya. Kahretsin. Turkcell daha iyi tabii :D,0
:) :) dizileri iyi gibi duruo ( sanki hepsini izlicemde ) hahhahhahahahahahaha sen ole diosan oledir selocan :) :),2
Kurumsalsaniz   almak bu kadar zor mu?! Her seferinde sabrimizi zorlamasaniz... :(((,1
fena degil,0
turkcell rom'lu alsam rom'u degistirebilirim degil mi?,2
"Merhaba, Turkcell Ýletiþim Merkezlerimizden mevcut stok durumuna göre cihazý temin edebilirsiniz. Teþekkür ederiz.",2
20 TL'mi 100 TL yapma turkcell yapma yeter amk yapma!,1
Birinden mesaj beklerken o gelen mesajýn basýnda koskoca TURKCELL yazmasý kadar acýmasýz birsey yok :(,1
Online iþlem merkezinizi kontrol etmenizi rica ediyorum ! 2 kez farklý tarihlerde iþlem yapmak istedim hep sorun çýkartýyor !,1
iyy turkcell sertab erener,2
#unutamiyorum aaa bi de doruknet turknet superonline ixir fln paketler bittiiinde 146 dan baglanirdik ne bedeller odedik yaa vay vay vayy :P,2
"1000 sms'in yetmediðini söylediðim Turkcell görevlisinin, ""Yeni bir aþk durumlarý mý? eheh"" diyerek gülmesi de, þahane. Ne desem boþ.",1
valla gökhanda diyor ama nedense ben bulduðumda paranýz olmuyo :) yoksa sevgilime s2 i 1200 tl ye aldýk turkcell,2
hayat paylaþýnca güzel:),0
198TL Fatura! Ey Turkcell! Her ay beceren sensin ama o bebek selocanlar yine senden çýkýyor! Nasýl bi'tongaya düþtük anlamadým ki amk!,1
Türkcell yanýmda degil :D salonda unuttm :/,2
Kalite ortada #turkcellfestival,0
"bebisiimmm gunlerdir arayamadim dk kontur fln bu turkcell yedi bitirdi beni ayin 20sine kadar aramaya kapandi, yrn aciliyo ama",1
Reklamlarda turkcell ve coca colayi tek geciyorum,0
#superonline #turkcell þu an internet hýzýmý saygýyla anýyorum: 2MBit (Gerçekte 20MBit) #BAN,0
O.C. turkcell 2 senedýr bana evde výnn kullandýrýyosun ya ýnsallah batarsýn,1
Belki bana Turkcell mesaj atmýþtýr. Ýþte hat var tel yok :),1
“ 'hayat paylaþýnca güzel' mi? banane mý banane mý? ben onun karýnýyým karýnýyým.”,2
Cok ibnesin turkcell.Zalýmsýn turkcell.,1
Bundan sonra telefon deðiþtirirken numaralarý hem hatta hem de türkcell merkeze kaydetcem !,0
superonline'a geç hayatýný yaþa :P,0
derimod benetton sisley turkcell  sevil ykm bana sms atmayýn size ihtiyacým yok sizden msj beklemiorm ananýzý skim heycanlanýorm tlf ötünce!,1
"Sen ""Vodofone"" gibi aný yaþarken,Avealýlar gibi her rahatladýðýnda ohbeeeee dediðinde,Ben seni ""Türkcell"" gibi her yerde Ç-E-K-E-M-E-M....!",2
Çok tstlýlar ve Matt'in þapkasýnýn ponponu Turkcell reklamýndaki ponpon gibi durmuþ. :D Alien,2
Dusunuyorum dusunuyorum Turkcell'in faturami neden bu saatte yolladigina anlam veremiyorum...,1
reklamlarýnýzdan nefret ediyorum,1
Bu fiber Internet problemleri de cok olmaya basladi. Bir degil iki degil aliskanlik haline geldiartik #superonline,1
"Nasil ki Turkcell'e cevap yazamiyosak, boyle eski sevgililere de yazamamak gibi bi' uygulama olsa, hataya dusmesek, hayat bayram olsa falan.",2
iPhone 4S 16 Aralýk'ta Turkcell'de!,2
"Pepsi'nin coca cola'ya, avea'ninda turkcell ve vodafone'a ayar verdigi reklamlar 10 numara 5 yildiz..",2
#3kelimeyle2011 Gelecek Güzel Gelecek,0
"türkcell hizmetlerini arýyorum,mesaj býrakýyorum her nedense bir türlü geri dönmüyorlar.....turkcell....duyurulur..",1
Dur bi mesaj atalimda sevgilisinden geldi sansin -turkcell,1
ön ödemede deðil cekim gücünde sorun. Hayat cam kenarýnda telefonla konuþurken guzel,1
zaman ne diyoruz HAYAT PAYLAÞINCA GÜZEL la la la la :)))))))),0
oh hayat size güzel ama unutma hayat paylaþýnca güzel :-)))),0
"merhabalar, þu internet paketlerinde bir düzenlemeye gitmezseniz 12 senelik bir 'Turkcell'liyi artýk tamamen kaybedeceksiniz",1
selocan nerde?,2
$u eský tahoe ler kadar sevdýgým ba$ka 4 ceker arac yok sanýrým,2
superonline fiber internet tavsiye ederim. Hýzý da gayet iyi. Ýlk baþlarda sorun yaþadým ama þuan memnunum.,0
""" Dur mesaj atalimda heyecan yapsinlar "" - TURKCELL - "" Senin ben aminakoyim "" - Sevgilisinden mesaj bekleyen genc -",1
"sayýn  ataþehir gibi elit bir semtte oturmama raðmen, 3g výnn'ýnýz edge hýzýyla výnnlýyor. allah sizi taþ etmesin emi!",1
konferans internetten yayýnlanacak mý?,2
ben sana turkcell adam konuþurken demiþtiiim. sen adamý niye bozuyosun demiþtiin baak kendin kabul ettiiin,2
Turkcell 97 liraya veriyor...boþ verin aveayý Turkcellden alýn =),0
Koton ve Mango'nun cekim gücünün yanýnda Turkcell avea ve vodafone halt yemiþ.,2
ÝKÝ bin ONBÝR :))),2
"""TESEKKURLER""   ;)",0
Taksim'in göbeðinde the Marmara'nýn 19. Katýnda 3G yok iyimi.. Mac ziyan oldu valla .. Mobil tv alacakmýþým seyredemedikten sonra,1
Bir polis mesaj atar bi egm atar bir turkcell atar bir de o uyardiklari kisiler atar. Hediye kazandiniz diye. Hey Allam.,1
28.11.2011 de baþlayan oturumu 01.01.2012 00:34 de kapatýp ilgili kotayý Ocak 2012 ye ekleyen superonline ý buradan alkýþlarla kýnýyorum.,1
Büyüksün Süreyya Ciliv,0
vodafonedan aveaya gectim ailecek perisan olduk turkcell bile sizden daha insaflý.,0
hat türkcell mi çok dolandýrmýþlar beni výnn kullandým epey para ödedim pek faydalanamadým keþke bunu daha evvel akl edeydim;),1
"Bu turkcell iyice mala baðladý,kampanya msjlarý yetmiyormuþ gibi bi de sesli olarak arayp kampanya dinlettler bana ya sapýk mýdýr nedrler ya",1
"evet turkcell ile denedim bir sýkýntý çýkmadý , jb siz avea için herhangi bir çözüm varmý ? #avea #aveadestek",0
Belirteyim yeni hattým Turkcell ve tuvalette bile çekiyor :) Avea öyle kenarda durmakta. Çok uðraþtým çok anlattým nafile.,0
Ne saçma abi. Evdeki baðlantým Twitter ve Dropbox'a girmeme izin vermiyor. Superonline'ýn saçmalýðý mý?,1
OH BE!! Cok mutluyum :) 150 dakýkam ve 5300 sms verdi turkcell :),0
öyle amerika fýrsatý bulsam bende hemen alacam,2
"Telefonumun bozulmasý sonrasýnda Turkcell'den gelen ""3."" yedek telefonda bozuk çýktý þu an.",1
32 GB Gold paket gayet iyi :),0
[TCELL] Kapanis: 9.10 - StochasticRSI: 0.69 - Hedef Alim Seviyesi : 8.70 - Hedef Satis Seviyesi: 9.32,2
e ozaman senin karsýna cýkan denyolarýn türkcell in her yöne msj kampanyasýndan haberleri yoktu:D:D:D,0
huaweri u8650 yani turkcell t20 o bütçe için en geliþmiþ kullanýþlý telefon :),0
Orda durumlar nasýl Sertab?  -Tecavüze uðradým Serkan !!  +Amaaaan hayat paylaþýnca güzel..  -Lalalalalaaaa !! # :D ..  .,2
Seni seviyorum Turkcell,0
Eðer hattýnýz turkcell ise yalnýz deðilsiniz demektir. Yoksa hergün düzenli olarak kim mesaj gönderir.,1
nee ben açtým ama :/ turkcell beni kazýkladý :( hala þifre yok :D,1
"Ses teknolojisi ile piyasaya sürülen ilk model olan HTC Sensation XL, Turkcell tarafýndan ülkemizde satýþa sunuldu.",2
Bu oçe Turkcell mesaj hakký talebimi aldý ama cevap vermiyoo :(,1
"Bu Erol Buyukburc, Worlcard reklaminda soyledigi sarkiyi yillar once Turkcell Shubuo reklaminda soyluyordu yahu. Fikir calma olmaz mi bu?",2
tabi ki. hayat paylaþýnca güzel. bilhassa komiklikleri.,2
Keske hayat gerçekten paylaþýnca güzel olsa!,2
{ 12 yýllýk Turkcell faturalý hat kullanýcý olmama raðmen neden bir türlü Celocan :) ''dan vazgeçemiom anlamýþ deiilim !.}  { N &amp; Y © ™ ® },1
"Deðerli süperonline 2.10 tarihinde hem telefonumu hem hattýmý superonline'a geçirdim. bana herhangi bir iþlem yapmam gerekmediðini,",2
Sayn selocan ne yaptýn sen ya:(sorulurmuydu o sorular bize:(,2
Kommensalizme ornek:  ve ben. Turkcell yararlanirken benim biþeyden etkilendiðim yok.Mutualizmi avea ile deneme karari aldim.,1
sadece turkcell mesaj atiyorsa yalniz kalmissýn demektir.,1
"Önce  þimdi  Turkcell için Özcan Deniz'den geliyor: ""Sen beni öldürcen mi, çýldýrtcan mý caným?""",1
keþke bugün Süreyya Ciliv in ödül töreninde bulunma þansým olsaydý,0
Ýnternet paketimin bytelari yerinde sayýyor insallah turkcell sonunda öpmez beni :),1
Sabahtan beri beni arýyorsun...Ne istiyorsun?,1
Kafa boslugu tv ideolejisi islamcilik su ayari 61 donemi modernlik vurgu turkcell sanirim butun dersler birbirine girdi hata veriyor artik,2
2011 yaþandý bitti.,2
Özturkcell reklamý komedi yaa :D:D,0
direk turkcell výnn al kurtul en iyisi o þuanda  ama ttnet iyi sayýlýr,0
turkcell'le ilgili bi sorundur o zaman...,1
bugün perþembe turkcell sinema günleri ....,0
Size bu tweeti atmak için 10 dk.dýr uðraþýyorum düþünün artýk ne kadar hýzlý Turkcell Výnn. 1 yýl imzaladýðým sözleþmenin süresini,1
1-2 sene içinde whatsapp desteklemeyen telefon kalmýcak kimse sms yapmýcak görücen ebeni turkcell,1
Dostum durduk yerde 20 mb internetimi yedi turkcell. Yarýn gidip söyliycem düzeltmezlere aveaya gecýyorum.,1
coco cola reklamýný nedense her çýkýþýnda turkcell reklamý sanýyorum,2
Kampanya Tanýtým: Shell'den Turkcell’lilere 10 TL Yakýt Hediye !...,2
:   #3kelimeyle2011 ha gitti gidecek :),2
her yöne sms 12 tl bakýnýz turkcell :D,0
hala çok pahalýsýnýz,1
sen turkcell i kullanmýyo musun,2
Kahve dünyasý ile yaptýðýnýz kampanya süper hiç bitmesinnn:seviyorum seni turkcell):):),0
niye garantisiz ve turkcell siz,2
iPhone 4S Turkcell’de 99 deðil 174 liraya geliyor,2
talihsiz seruvenler dizisi pesimi brakmio; trcell disi nolari arayamiorum; sen istedîîn zmn arar misin beklicem 'bieb'y ;),2
Çüþþþþþþþ turkcel sms paketýný 14 tl yapmýsssssss ohaaaa yaný napmaya calýsýyosun sen turkcelll!,1
“ benden aldýklarýný geri ver turkcell.” âmin,1
sen türksel deðilmisin :O,2
30Liraya 62TL yukleyen turkcell tesekkurler :D,0
"3 aydýr turkcell den arýyolar inadýna açmýyorum,yok sesli mesaj falan býrakmalar yemezler öyle kolay kolay.",1
#2011MARKA keske suan orada olsam:( Turkiye'de gerceklesn en degerli olusumlardan.Benim icin konferansn en degerlisi ise tabiki TURKCELL;),0
2 saat once kontor yukledým ama hala sms ým yenýlenmedý bok ye turkcell.BOK YE,1
#turkcell bu ay ki giderlerini bugun benden carptigi paralarla yapacakmis.,1
#turkcellfestival Harika Yorumlarýndan dolay model'e teþekkürler ve tabiki turkcell e :),0
"çok sýkýldým bu Turkcell den, ayrýlsam kime geçicem hepsi ayný bok :(",1
"4 saat içerisinde beyaz eþyalar, bosch servisi, baza, süperonline gelip geçince; ortalýk savaþ alanýna döndü doðal olarak :|",2
"MMS altyapisini zaten kurmustu, otobana benzetmem tasima Cap. Yuksek diye. Superonline ile fiberlerde kendinin. Ek maliyet 0.",0
"Ýyi olmuþ.. Yalaka Acun'a da kýl oluyordum.. Batsýn, sürünsün.. Turkcell'e fatura olarak ödediðimiz paralarý cebe o indiriyormuþ.. Þerefsiz!",1
"00:00 da turkselden mesaj geldi *llah belani versin turksel -,-",1
keþiflerini paylasmalýsýn . Hayat paylasýnca güzel  . Reklamý bile var :D,0
sana raký þiþesinde balýk olmayý da öðretecem! Sonra turkcell'in reklam pnolarndan caným ý çekip tanýmadýklarýmza atacaz :D,2
Genc 600 paketimde 595 dk görünmesine raðmen krediniz yetersiz uyarsýyla karþýlaþýyorum. müþteri temsilcisiyle de görüþemiyorum.,1
küçük pakete üye olup gold paket parasý ödemek acaba nedir nedir iyice öztürkcelleþmiþsiniz maaþallah,1
abla türkcell deðil turkcell,2
belki Turkcell le baglansak hayata hersey daha kolay olur:),0
saymiyorum hic ama 20 tane vardir herhalde :D bu aralar turkcell bile unuttu beni !,1
"sozlesmesini yaptiginiz aramadiginiz , aramalarina donmediginiz aboneleriniz dahil mi buna",1
TurkcellMüzik biraz daha geliþsin fizy yi tamamen býrakýcam söz.,0
kesinlikle ! 7 ayri yere ugradim oluorm muzekkere gormk istemiorm.. desemde daa turkcell ve ITO bni beklio :(,2
"olmaz musteri sensin sen mail at gokcer.ozgur bu ne len:D tlfnla ara, veya DM at.",2
Justin Bieber Konseri Ýçin 25 Haziran 2012 (sanýrým Turkcell Kuruçeþme) Tarihi Konuþuluyor.Bilet fiyatý Bile...,2
"oha #turkcell bu da mý gol deðil ulan ben geç öðrenci kampüslü bi tarifenizdeyim 92,68 TL lik fatura nereme!",1
Bugün Turkcell blog odullerinde oylamanýn son gunü! Yoksa sen hala seyahatpereste oy vermedin mý?,2
iPhone4S Türkiye de de satýþa çýkmýþ bulunmakta en uygun fiyat 99/24 buda 2300 küsür lira oda turkcell'den yalnýz internet 100 mb tabiki :D,0
superonline ?net baglatmak için yeni eve tasýndýk ve net yok turkcellden mi alsam ama cekme sorunu vs?,1
napcezzz selocan da cagirmiyor hic,2
in þirketimize atadýðý müþteri temsilcisi yüzünden  u ofise davet ettik. Görüþüp komple  a geçmeyi düþünüyoruz.,1
bende memnun diilim hattýmý taþýyacam bakþa operatöre.sürekli limiti aþýyomuþum ama hiç konuþmuyorum.,1
vodafone herkesin hakki ama sn halaa turkcell,1
"stres,huzur,piþmanlýk",2
KENAN AYDIN'ýn Hemen ardýndan TURKCELL TEKNOLOJÝ YAZILIM MÜHENDÝSÝ YAKUP TARIK KRANDA Bilfest Katýlýmcýlarýyla bir söyleþi yapacak.,2
superonline daha mi iyi peki? Fiyat olarak ttnet'ten daha ucuza diyorlar ama gördüðüm kadariyla daha pahali?,1
"Ortaya çýktýðýndan beri Turkcell gibi beni yalnýz býrakmayan ""City Ville"" isteklerine burdan teþekkürlerimi iletiyorum, saðolun var olun.",0
Þu son avea reklamýndan etkilendim. 4 TL'ye 100 DK Her yöne.. çok iyi tarifeler var. Turkcell yeter!,1
ne isime yaradi :) zaten  gunde 167 sms gibi bir sacmalik yapiyor !,1
Sabahtan beri turkcell müþteri hizmetleriyle kanka oldum amk o oraya baðlýyo o oraya hal kalmadý zaten çalýþcak :D,1
"Esincim, zaten benim calisan bir BB'im bile yok! Suan elimdeki arizali telefonum yapilana kadar turkcel'in verdii.",2
[TCELL] Kapanis: 8.84 - StochasticRSI: 0.00 - HISSE ALIS ICIN UYGUN,2
dýtdýtdýrýtdýtt :D of turkcell reklamý aklýma geldi          :D,0
#teknoloji Samsung'un kompakt cebi Galaxy Y ve QWERTY klavyeli cep Ch Turkcell avantajlarýyla Türkiye'de!,0
Bur sure stabil devam ettin ama su an sacmaliyorsun Turkcell Superonline,1
turkcell olarak ogrencilere 1 gb internet 1 tl projesi sunsaydiniz belki 3G destegi bulunurdu.,2
"Bye bye avea, selam turkcell",0
Türkcell'den olay gibi bir kampanya.  Hattýnýzý bize geçiriyorsunuz bizde sizeeeee :D:D:D:D:D:D:D:D:D:D:D:D:D:D,1
"Turkcell hala ""prestij"" kazandýran bir marka. Onu kullanmak insanlar için hala belli bir seviyede olmakla eþ.",0
"Bugün turkcell mesaj atmadý, kesin baþkasý var. Aldatýlýyorum.",2
O kadar operator degistirdim turkcell kadar kazik atanini gormedim arkadas smsim bitmemis smsin btti diyip hattimdan 12tl yi de aldi esekler,1
dun gece turkcell beni taciz etti bildigin.,1
superonline varya daha iyi,0
#osesturkiye de turkcell sponsorlugunun dibine vurulmus .. Gormeyen kalmadi o sunucudan buyuk gnctrkcll yazisini,0
Lan turkcell e bak yeni cihaz veriyormuþ sonunda,0
hayat paylasýnca güzel lalallalaal :) öyle ufonun dibinde uzun eþek oynamýycaktý ismíní vermek istemedígim kísi,2
iþim gücüm yok turkcell in fizydeki telefondan sms olarak ücretsiz þarký paylaþma uygulamasýný deniyorum. ve HALA KÝMSE TEÞEKKÜR ETMEDÝ.,1
ama hayat paylaþýnca güzel lazým yani:D,0
"Devlet Sektörü=Turkcell Süper Lig, Özel Sektör=Bundesliga, Çalýþtýðým Sektör=Italia Serie A.",2
"Sadece mutluluk vaadi veren reklamlardan baydim.Bana daha yaratici reklam mesajlariyla gel. Bkz. Eti, Coca-Cola, Turkcell",0
1 gb internet pakedim de bitti lanet turkcell.,1
faturalý hat sahiplerine bir þey yok mu?,2
Turkcell #PazarlamaKonferansi Charlene Li,0
Dolmabahce tunelindeki 3G sorununa cozum lutfen  #turkcell,1
ama sen ne çektin bu   dan.. Hala mý bir tepki yok.. Ýyi ki  liyim :( geçmiþ olsun.. Degistir artýk. Hakettiler..,0
"sesli mesaj sevrisi 7565 ucretli olmus. Ama bu suprizi 7565'i aradiginizda ogreniyorsunuz, supriiizzz 0,50TL",1
Iyi gunler derken turkcell ? Uykumdan uyandirmak zorundamisiinnn,1
yok ya iyi turkcell alistim,0
"kayýt baþladý Check out ""Turkcell 2011 Blog Ödülleri""  via",2
"""Hayat paylaþýnca güzel"" derken...Meðer baþkasýnýn þarkýsýný kendilerine paylaþmýþlar...",2
"Kadikoyun ortasinda da 3G cekmiyorsa nerede cekecek, istanbulun gobegi kurtkoyde mi sevgili turkcell?!",1
"Hayat paylaþýnca güzel, la la la laaa la laaaaalaaaa, paylaþýp çoðalýnca güzel la ala ala lalaalaa laaaaaaa.. :)))",0
#turkcellesavasimvar Haksýz kazanç elde ettiklerini dava 10 sene sürse kanýtlayacaðým ve emsal teþkil etmesini saðlayacaðým Turkcell duy,1
'e yasattigimiz super musteri deneyimi icin onurlu ve gururluyuz. ( Turkcell Superonline),0
#superonline yalan atmasanýz iyidi söz veriyosanýz tutmalýsýnýz isminiz çalýþanlarýnýz yüzünden zarar görüyor .,1
"Mutluluk, gnctrkcll kampanyasýný bilmeden iki kiþi kahve dünyasýna gidip, kahve içtikten sonra ikincisinin bedava olduðunu öðrenmekti bugün.",0
Kahretsin cok artistim turkcell bana espri yapiyoor :D,1
ahaha hadi ya öyle mi!.hatta Turkcell EMOTIONAL paketi duymuþtum bir de. iltifatlar sevgi sözcükleri vs. atýyo kýzlar çin ideal.,0
13 milyon olabilir mi,2
turkcell :-),0
Coca cola ve turkcell cok guzel reklam yapiyo ya :),0
"aynen, acaba baþka birinden mi diye ümitleniyorum ama yok yine turkcell",2
Ýnsan niye kendisine kazýk atanlardan vaz geçemiyor. Mesela türksel. Soktukca sokuyorlar. Vazgeçilmez. Çünkü herkes türksel.,1
telefonumun interneti o kadar ezik ki beni bu hallere dusuren Turkcell'e ne kadar sovsem azdir.,1
Olm 14 tl ye sms paketimi olur Allah belani versin turkcell.,1
hayat paylaþýnca güzel nara naa naa na na turkcel ceo suyum ben :),0
Turkcell i ariyorum genelde ben yia bayadir yeniliyo kendini 100mb de yapiyolar :D,0
#cokozledim  superonline ile internete baðlandýðým o günleri. tek derdim ev telefonunun meþgulde olduðunu kimsenin anlamamasýydý,0
burda 4 ceker kardesim:D,2
Her þirketin amaçlar hiyerarþisi vardýr ya vizyon misyon vs... turkcell'in misyonu da müþterilerinin ýrzýna geçmek !,1
allah belanýzý versin.ulan acil iþim olsa kanser edersiniz adamý ben ses tanýma kaydý yapmak zorundamýyým kardeþim.,1
"Bloguma Ýstanbul'dan yorum býrakan Superonline müþterisi: Git kendinle kafa bul. Tabi bulman için kafa lazým, neyse..",1
bi sorun mu var mesaj atamýyoruz reiz,1
daha yeni mý.,2
"#hayattansogutanseyler ""Dur bir mesaj ataLim sevgiLisinden zannetsin."" diye mesaj atan turkcell",1
#turkcellesavasimvar,1
"Dileðim; SuperOnline, Turkcell, TTNET vb. firmalarýn 2012'de ""sizi arayacaðýz"" demek yerine direk burdan cevap vermesi þeklinde. #hope #2012",1
"tarife net, bültende gelen link açýlmýyor ama  web sitesinde cihaz bedeli diye 24 aylýk ekstra bir ücret daha var:)!!!",2
hemde Cellim aðzýyla turkcell+cocacola &gt; vodafone+pepsi,2
kapalý alanlarda sýkýntýlý ama yine de iþimi görüyor. Avea'nýn benzer paketi Turkcell'de 55 lira.,1
