Sentence,Category
" In article <sandvik-190493201048@sandvik-kent.apple.com> sandvik@newton.apple.com (Kent Sandvik) writes: > >So are you happy now when 70+ people, including innocent kids, >died today?  No, and Im especially unhappy that these 70+ people died in an assault on private property with government armored vehicles.  I am also unhappy (or actually, very suspicious) that the FBI was dismissing out of hand any chances that they might have accidentally set the blaze  themselves. I mean, I guess we are just supposed to believe that ramming modified tanks into the walls of a building and injecting toxic gases into the building are just routine procedures, no WAY anything could go wrong.   -- Legalize Freedom ",talk.religion.misc
"    Hi.. Me and My roomate are going to redecorate the ""living room"" and  we thought it would be a cool idea to have a license plate from every  state in the US and then from whereever else we could find, like canada, Mexixo, even some European ones.    If anyone has any ideas or knows someone that could help us out please let me know....  The more recent, the better, but anything would be nice.    Either that or if you have an old plate hanging around... (hint hint!)  Kev wanderer@camelot.bradley.edu  Kevin C Murphy 1312 West Main Street #421 Peoria IL 61606 ",rec.autos
"    My schedule is flexible so any games are candidates AC>(though I'd prefer to see Texas.)    Hi Tony.I think that I might be able to help you out!The Rangers are    here in Toronto Thursday July 8th through Sunday July 11th and    tickets should not be hard to find if you order them far enough in    advance.Although I don't have a ticket broker's telephone number off    hand if you give me a couple of days I will be able to get a hold a=    of a couple.The Blue Jays ticket info # is (416)341-1111 or if you    want to order by credit card,call (416) 341-1234.If you let me    know,when you want the tickets I can save you a possible long    distance call.If all else fails I might be able to pull a few strings    and get you a pair.Let me know whats happening.  Drew Carley,Toronto Canada ---  þ DeLuxeý 1.25 #2177 þ Go away,or I shall taunt you a second time! -- Canada Remote Systems - Toronto, Ontario 416-629-7000/629-7044 ",rec.sport.baseball
"Sender: news@athena.mit.edu Message-ID: <0E010016.v91f9m@spike.ora.com> Reply-To: adrian@ora.com NNTP-Posting-Host: enterpoop.mit.edu To: xpert@expo.lcs.mit.edu   Thanks for the many offers to review this book.  If you received a review copy, please return it as soon as possible.  I had a system crash and lost the list of people I sent it to!  Thanks  Adrian Nye O'Reilly and Associates adrian@ora.com ",comp.windows.x
" In article <9304221116.AA02093@pizzabox.demon.co.uk> gtoal@gtoal.com (Graham Toal) writes: >:    Does Dorothy Denning read this group?  If not, is someone on the group >: forwarding questions like these to her, or Martin Hellman, or anyone else >: who's seen more details about the chip? > >Of course she does; it's just she's been toasted so often for being >an NSA patsy that she's keeping her head down.  You can always mail >her directly as denning@guvax.acc.georgetown.edu, >denning@cs.cosc.georgetown.edu or denning@cs.georgetown.edu > >G  I found the personal attacks on Prof. Denning pretty disgusting. I don't agree with all her positions; but I think scholars can disagree without the argument getting into the gutter.  If these personal attacks are what stopped Prof. Denning from replying on issues of substance, they have cause real harm to the serious debate here. --  Gideon Yuval, gideony@microsoft.com, 206-882-8080 (fax:-883-8101;TWX:160520) ",sci.crypt
" In article <1993Apr24.023039.1485@cs.rit.edu> bdm@cs.rit.edu (Brendan D McKay) writes: >In article <1r94f9$ge3@morrow.stanford.edu> AS.VXF@forsythe.stanford.edu (Vic Filler) writes:  >>You have a lot to learn when it comes to historical methodology. > >That's true.  I try to learn from people who know more than me, >not from useless farts.  And anyone who doesn't agree with you is, by your own definitions, a ""useless fart"".  Just like any text that disputes your own ""findings"" is always described as ""flawed"" or ""biased"".  In other words, you trumpet the things you like and dismiss those that might embarass you. We've seen you play these games here for a long time.  One thing is for sure: When it comes to ""useless farts"", you sure know  what you're talking about.  --  Jake Livni  jake@bony1.bony.com           Ten years from now, George Bush will American-Occupied New York                   have replaced Jimmy Carter as the My opinions only - employer has no opinions.    standard of a failed President. ",talk.politics.mideast
"Nntp-Posting-Host: magnusug.magnus.acs.ohio-state.edu  In article <C51vwC.Lru@usenet.ucs.indiana.edu> bodom@silver.ucs.indiana.edu (Br ian Odom) writes: >As far as I know, Toronto, Pittsburgh, and New York (NL) change their >uniforms every year.  Every other year (e.g., New York), it will say Mets >in cursive, New York in cursive, or New York in all caps.  Minor changes, >but they do change them often.  Last year, I think they had New York in all >caps.  Did Toronto have Blue Jays or Toronto last year?  What about >Pittsburgh?        It depends on which uniforms you are talking about.  For the last couple of years I believe Toronto and Pittsburgh has used the same uniforms, or at least very similar.  The home jerseys had the team nick name (Blue Jays or Pirates), but the road jerseys had the name of the city (Toronto or Pittsburgh).  I believe this is the way most teams design their uniforms.     -- Chris ",rec.sport.baseball
"Message-ID: <1qjvk4INNsrn@hp-col.col.hp.com> References: <120377@netnews.upenn.edu> NNTP-Posting-Host: fajita19.cs.itc.hp.com  OK, I'll join in the fun and give my playoff predictions:   1st round:  ----------  PITT vs NYI:  PITT in 4.   WASH vs NJD:  WASH in 6.   BOS  vs BUF:  BOS  in 5.  QUE  vs MON:  MON  in 7.   CHI  vs STL:  CHI in 4.  DET  vs TOR:  DET in 6.   VAN  vs WIN:  WIN in 6.  CAL  vs  LA:  CAL in 5.   2nd round:  ----------  PITT vs WASH: PITT in 4.  BOS  vs MON:  BOS  in 6.   CHI  vs DET:  CHI  in 7.  WIN  vs CAL:  CAL  in 5.   3rd round:  ----------  PITT vs BOS:  PITT in 5.  CHI  vs CAL:  CHI  in 5.   Finals: ------  PITT vs CHI: PITT in 5.    ============================================= Walter  ",rec.sport.hockey
" In article <rdippold.735253985@qualcom> rdippold@qualcomm.com (Ron ""Asbestos"" Dippold) writes: > >geoff@ficus.cs.ucla.edu (Geoffrey Kuenning) writes: >>Bullshit.  The *Bush* administration and the career Gestapo were >>responsible for this horror, and the careerists presented it to the >>new presidency as a fait accompli.  That doesn't excuse Clinton and >>Gore from criticism for being so stupid as to go for it, but let's lay >>the body at the proper door to start with. > >The final stages of denial... I can hardly imagine what the result >would have been if the Clinton administration had actually supported >this plan, instead of merely acquiescing with repugnance as they've so >obviously doing.  I don't believe the chip originated with the Clinton >administration either, but the Clinton administration has embraced it >and brought it to fruition.  [...]  (the date I have for this is 1-26-93)  note Clinton's statements about encryption in the 3rd paragraph..  I guess this statement doesen't contradict what you said, though.  --- cut here ---          WASHINGTON (UPI) -- The War on Drugs is about to get a fresh start, President Clinton told delegates to the National Federation of Police Commisioners convention in Washington.         In the first speech on the drug issue since his innaugural, Clinton said that his planned escalation of the Drug War ``would make everything so far seem so half-hearted that for all practical purposes this war is only beginning now.'' He repeatedly emphasized his view that ``regardless of what has been tried, or who has tried it, or how long they've been trying it, this is Day One to me.'' The audience at the convention, whose theme is ``How do we spell fiscal relief?  F-O-R-F-E-I-T-U-R-E,'' interrupted Clinton frequently with applause.         Clinton's program, presented in the speech, follows the outline given in his campaign position papers: a cabinet-level Drug Czar and ``boot camps'' for first-time youthful offenders.  He did, however, cover in more detail his plans for improved enforcement methods.  ``This year's crime bill will have teeth, not bare gums,'' Clinton said.  In particular, his administration will place strict controls on data formats and protocols, and require the registration of so-called ``cryptographic keys,'' in the hope of denying drug dealers the ability to communicate in secret.  Clinton said the approach could be used for crackdowns on other forms of underground economic activity, such as ``the deficit-causing tax evaders who live in luxury at the expense of our grandchildren.''         Clinton expressed optimism that the drug war can be won ``because even though not everyone voted for Bill Clinton last November, everyone did vote for a candidate who shares my sense of urgency about fighting the drug menace.  The advocates of legalization -- the advocates of surrender -- may be very good at making noise,'' Clinton said.  ``But when the American people cast their ballots, it only proved what I knew all along -- that the advocates of surrender are nothing more than a microscopic fringe.''   ",sci.crypt
"      Here's an easy question for someone who knows nothing about baseball...     What city do the California Angels play out of?    --  Richard J. Rauser        ""You have no idea what you're doing."" rauser@sfu.ca            ""Oh, don't worry about that. We're professional WNI                          outlaws - we do this for a living."" ----------------- ""Remember, no matter where you go, there you are."" -Dr.Banzai ",rec.sport.baseball
" In article <C5r4IA.A21@acsu.buffalo.edu> v111qheg@ubvmsb.cc.buffalo.edu (P.VASILION) writes: > >	Woa, little brain trust. Brian, this who thing is not about someone >thinking they are THE SECOND COMMING. Its about **YOUR** civil rights. Would >you want the FEDS to come marching into your home with a warrant that probably >wouldn't stand up in court, arrest you and your family after attempting to kill >you and haul you off to jail without due process? This is what has happened  >in Texas. With the Davidians all dead, no one will know the truth - only >what the White House wants you to think. Government does not exist for you! >Government exists for itself and will do what ever it needs to preserve  >itself.  Probably not.  But then, I don't pack heavy weaponry with intent to use it. You don't really think he should have been allowed to keep that stuff do  you?  If so, tell me where you live so I can be sure to steer well clear. The public also has rights, and they should be placed above those of the individual.  Go ahead, call me a commie, but you'd be singing a different tune if I exercised my right to rape your daughter.  He broke the law, he was a threat to society, they did there job - simple.   >	Support your First, Second, Fourth, Fifth, Sixth, and Eighth >Amendment rights, lest they be taken away from you just as the FBI did >to the Davidians. Think about it.  I'll support them all (except no. 2)   >Peter Vasilion, kb2nmv ><<STD DISCLAIMERS>>  -Tim  ______________________________________________________________________________ |				|				       	       | |       Timothy J. Brent        |   A man will come to know true happiness,    | |   BRENT@bank.ecn.purdue.edu   |   only when he accepts that he is but a      | |=========$$$$==================|   small part of an infinite universe.	       | |       PURDUE UNIVERSITY       |			  	   -Spinoza    | | MATERIALS SCIENCE ENGINEERING |			 	 [paraphrased] | |_______________________________|______________________________________________| ________________________________________________________________________________ ",talk.politics.misc
"Message-ID: <1r7houINNop9@titan.ucs.umass.edu> References: <1r67ruINNmle@ctron-news.ctron.com> NNTP-Posting-Host: titan.ucs.umass.edu  I just started reading this newsgroup and haven't been following the thread. I'm just curious:  How did this thread get started with ""Albert Sabin"" and changed into something else?  What was it about Sabin that initiated a religious discussion?  Colin    ",talk.religion.misc
" In article <viking.734084516@ponderous.cc.iastate.edu> viking@iastate.edu (Dan Sorenson) writes: >>Yes, I am pro-gun, and yes, I do disagree with this statement. >>Nuclear weapons in and of themselves are dangerous.  Radioactive >>decay of plutonium and uranium, as well as the tritium in the >>weapon, tends to be somewhat dangerous to living things. >>(Can you say ""neutron flux""?)  >	Can you say, ""I get more background radiation from living in >Denver or having an office in a limestone building than I do standing >next to a power reactor at full power or standing next to a nuclear >warhead that is armed?""  Look up ""shielding"" in your dictionary.  You >don't need six feet of lead to make decent shielding; your dead skin >cell layer does an excellent job on alpha particles, and neutrons >are slowed by mere *water*.  What do you think 75% of you is?  But whatever the neutrons hit has a good chance of absorbing the neutron and becoming radioactive itself. Mostly, that means water turning into (harmless) heavy water. But some neutrons would  also hit bones, and the resulting harmfull, secondard radioactives would remain in the body for decades. I think an unshielded nuclear warhead could reasonably be considered a public health hazard.  As for a shielded warhead, I think a fair amount of maintaince is required for it to remain safely shielded (e.g. storage in a dry, temperature-regulated facility, etc...) For private ownership to be unregulated, I think a single individual must be able not only to keep the weapon, but keep it in a safe condition. If any random private citizen could not properly keep, maintain and store a nuclear weapon, then some regulation is clearly appropriate.  >>  Plus these things have no self- >>defense purposes.  It's kinda hard to justify their use as >>a militia weapon when at best they are meant for battlefield use >>(low-yield weapons) or at worst for industrial target obliteration >>(translation:  cities and population centers).  >	If the militia has as its job the overthrow of an illegal >government, they are indeed useful weapons to the militia.  I disagree with this purpose: The job of the militia is to defend themselves and their community. If you look at the American  revolution as an example, the militias won by seperating themselves from, and becoming independent of, a repressive government. They didn't overthrow it, and those communities (Canada and England, for  example) that didn't defend themselves were still under that same old regime. If the role of the militia were offensive, to go out and destroy repressive governments, nuclear weapons _might_ be appropriate. But their jobs is defensive, and nuclear weapons aren't suited for that.  There is also the question of personal and collective arms: The Second Amendment definately protects ownership of personal weapons (since the very nature of the militia requires members to provide their own arms.) But it isn't clear if it covers other arms. Certainly, not all members would supply (for example) a tank, only a few could or (if they were to be used effectively) should. However, those providing the heavy weapons have a  disproportionate control over the militia and its fierpower. The militias, as the framers envisioned them, were extremely democratic: If only 50% of the members supported the cause, only 50% would respond to a muster, and the militia's firepower would be proportionately reduced. Militia firepower and the popular will were, therefore, linked. But if a small minority of the members supplied a large fraction of the firepower (in the form of heavy weapons) this would all change: The militia's firepower would depend on the will of a small minority, not of the general public. Worse, that minority would be quite different from the general public (at the very least, they would be much richer.) As a result, I think the nature and character of the militia requires that each member provide a roughly equal share of the militia's firepower: His personal weapons, and some equitable fraction of a squad's heavier firepower.                                                    Frank Crary                                                   CU Boulder  ",talk.politics.guns
"   	I'm looking for brief information on new applications of electronics (or new electronics in applications.) If you know of any interesting new stuff, I would be intrested in hearing about it.  			Thanks, MJH ",sci.electronics
" On an ISO/ANSI-standard 5.25"" magneto-optical disc, how many sectors are there per track (or disc revolution), and how many tracks per disc?  Thanks,  Jim Frazier 73447.3113@compuserve.com ",comp.sys.mac.hardware
"Sender: news@athena.mit.edu Message-ID: <0E010016.vgrio5@spike.ora.com> Reply-To: adrian@ora.com NNTP-Posting-Host: enterpoop.mit.edu To: xpert@expo.lcs.mit.edu    > I want to do the equivalent of an ""xwininfo -name"" via a call or set of calls > in Xlib.  I need to map a windows name to its id. > It's probably easy, but I've only been programming in X for a little while.  Do you have the X source code?  Simply look in mit/clients/xwininfo/xwininfo.c and you will find out exactly how to do it.  :-)  Adrian Nye O'Reilly and Associates. ",comp.windows.x
" In article <1993Apr9.133114.2605@news.columbia.edu> rdc8@cunixf.cc.columbia.edu (Robert D Castro) writes: >In article <rbpC54D51.26n@netcom.com> rbp@netcom.com (Bob Pasker) writes: >>cjackson@adobe.com (Curtis Jackson) writes: > >> >>my solution is *never* to ride next to a car > >The only thing between you and ""them"" is space. >Keep as much as possible.  Take this one step further ...  Never dilly-dally in that rear 1/4 of either side of a cage - when you pass make it as POSITIVE as possible and if you can't pass fully, at least make sure that if you attempt it you can make the driver aware of you by at least getting into his area of vision.  This also applies to merging into another lane after making a pass - do it as POSITIVELY as possible ... and what I ""try"" to do is look in the rear view and then over my shoulder.  And after I've done that ACCELERATE into the  lane so that you have a speed cushion should you have missed seeing a  potential BDI that's trying to do the same thing as you ... or worse (ie: he may have been behind you, saw you made the pass successfully but YOU aren't GOING FAST ENOUGH to suite him so he tries to go around you on the right).  Ride with four eyes...  Rich   Rich Bemben - DoD #0044                     rbemben@timewarp.prime.com 1977 750 Triumph Bonneville                 (617) 275-1800 x 4173 ""Fear not the evil men do in the name of evil, but heaven protect  us from the evil men do in the name of good"" ",rec.motorcycles
" golchowy@alchemy.chem.utoronto.ca (Gerald Olchowy) writes: > >(the VAT in Canada is visible unlike the invisible VATS they >have in Europe)  Also, note that the VAT in Canada, called the GST, was always there in a hidden form as a manufacturers' wholesale tax.  It was reconfigured to be visible, and is not a new tax ... but retailers taking a free price hike during the transition did make it a new tax *in practice* until some prices finally did get rolled back when the private sector quietly realized that  they had shot themselves in the foot (at least relieved that the Tories took the heat, not themselves --- but the writing was on the wall).  gld -- ~~~~~~~~~~~~~~~~~~~~~~~~ Je me souviens ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ Gary L. Dare > gld@columbia.EDU 			GO  Winnipeg Jets  GO!!! > gld@cunixc.BITNET			Selanne + Domi ==> Stanley ",talk.politics.misc
" *** On 04-20-93  21:25, Larry Henson had the unmitigated gall to say this:   LH> Hello, I am trying to hook an Apple Imagewriter to my IBM Clone.  LH> I seem to have a problem configuring my lpt port to accept this.  How  LH> can you adjust baud, parity, etc. to fit the system?  I tried MODE, but  LH> it did not work.  If anyone can help, post of e-mail.  Thanx.  LPT ports don't recognize baud, parity, etc. settings.  You might be tring to connect a serial printer to a parallel port.  Try this: attach the serial port of the printer to a serial port on the PC.  Use the mode command to set the COM port settings.  Try  C>MODE COM1,9600,N,8,1  to set the port parameters.  Then use the MODE command to redirect the printer port LPT1 like this:  C>MODE LPT1=COM1  This should work.  Good luck!  ... Time flies like an arrow.  Fruit flies like a banana. --- Blue Wave/QWK v2.10                  ---- The Ozone Hole BBS * A Private Bulletin Board Service * (504)891-3142 3 Full Service Nodes * USRobotics 16.8K bps * 10 Gigs * 100,000 Files SKYDIVE New Orleans! * RIME Network Mail HUB * 500+ Usenet Newsgroups Please route all questions or inquiries to:  postmaster@ozonehole.com ",comp.sys.ibm.pc.hardware
"Distribution: world Message-ID: <N4HY.93Apr26114542@harder.ccr-p.ida.org> References: <15657.2bd7de55@cpva.saic.com> NNTP-Posting-Host: harder.ccr-p.ida.org In-reply-to: thomsonal@cpva.saic.com's message of 23 Apr 93 20:17:25 GMT   I can tell you that when AMSAT launched some birds along a Spot satellite (French), that during installation of some instruments on Spot 2, there heavily armed legionaires who had a `take no prisoners' look on there faces. Spot satellites are completely capable of doing some very good on orbit surveillance.  BMc -- ------------------------------------------------------------------------------ Robert W. McGwier                  | n4hy@ccr-p.ida.org Center for Communications Research | Interests: amateur radio, astronomy,golf Princeton, N.J. 08520              | Asst Scoutmaster Troop 5700, Hightstown ",sci.space
